dialect,standard
そのようかんをちっとほず味見させちょくれ,そのようかんを少しばかり味見させてくれ
ちびっとでも酒を飲んだら、車の運転は禁止で,少しでも酒を飲んだら、車の運転は禁止だ
また、ちゃあらん遊びを覚えてきちから,また、つまらん遊びを覚えてきてから
もうちゃんがらじゃ,もう使い古して役立たずだ
ちゅうかんはりの癖は、還暦になってもなおらんのお,おどけたことをする癖は、還暦になってもなおらんなあ
今晩のテレビドラマは、ちゅうくれじゃったなあ,今晩のテレビドラマは、中ぐらいだったなあ
あんまり褒められたもんで、ちゅうろくてんになった,あんまり褒められたもので、有頂天になった
仕事を始めても、痩せ馬のちょいとばりきじゃ,仕事を始めても、痩せ馬の最初だけの元気だ
うちの子犬は、ちょいとんじっともしちょらん,うちの子犬は、ちっともじっとしていない
似顔絵を描いちゃるけん、ちょうけえ,似顔絵を描いてあげるから、ちょっと来い
選挙の前にだけ、ちょｙしんかわ言うしがおる,選挙の前だけ、調子のよい言葉を言う人がいる
ちょうずいいところにきた、加勢しちょくれ,丁度良いところにきた、加勢してくれ
町内の会議に出られんかったけん、祭りに参加してちょうめをけした,町内の会議に出られなかったから、祭りに参加して帳消しにした
隣のじいちゃんは、ちょっきし100歳じゃ,隣のじいちゃんは、ちょうど100歳だ
駅でまっちょく,駅で待っておく
焼いた魚にちょびっとカボスを絞ると、うめえ,焼いた魚にちょっとカボスを絞ると、うまい
あんしは、もう電車に乗っちょるころや,あの人は、もう電車に乗っているころだ
俺を笑ったやつは今にみちょれ,俺を笑ったやつは今にみておれ
手を洗いたいが、ちょんだらいが見つからん,手を洗いたいが、洗面器が見つからない
またそげなちんめえこと言うちから,またそんな小さいこと言ってから
そんスリッパは誰んつや,そのスリッパは誰のだ
いいつは持っちょらんのやわ,いいのは持ってないんだわ
傷の上につうができち、それが乾いた,傷の上にかさぶたができて、それが乾いた
ばあちゃんの家につうじいく,ばあちゃんの家に走っていく
急ぎの用事でつうだらだった,急ぎの用事で走ったら疲れた
ネット通販につかっちょる,ネット通販に入り浸っている
つきむき忠告するんは勇気が要るで,正面切って忠告するのは勇気が要るよ
あんまりこめえことまでつくじりよると、話が前に進まんので,あんまり小さいことまでほじくると、話が前に進まないので
階段でつくなむのはやめちょくれ,階段でしゃがむのはやめてくれ
何事もそげえつごゆういかんもんで,何事もそんなに都合良くいかんものだ
穴からつちぶうを釣り上げよったもんじゃ,あなからセミの幼虫を釣り上げていたもんだ
人が梅干を食べよるのを見てつづが出た,人が梅干を食べているのを見てつばが出た
マラソンの最後3キロはつついっぱいじゃった,マラソンの最後3キロは精一杯だった
電話はせんまま、つっかけいくで,電話はしないまま、いきなりいくよ
世の中にはつっからつぎニュースがある,世の中には次から次にニュースがある
豆腐をつっくずして、白和えを作った,豆腐を突き崩して、白和えを作った
あんしは、つっこするごたあっても挨拶せん,あの人は、擦れ違うようにあっても挨拶しない
高級なスーツほど、虫が好んでつづるような気がする,高級なスーツほど、虫が好んで虫食いになるような気がする
母ちゃんは風呂上り、つぶしにクリームを塗る,母ちゃんは風呂上り、ひざにクリームを塗る
子猫と遊ぶと、つめくじたつるので困る,子猫と遊ぶと、爪痕をつけるから困る
猫の子を貰ったんやけど、つらぐせが悪い,猫の子を貰ったんだけど、顔つきが悪い
軒下に玉ねぎをつらくるのは、なぜじゃろう,軒下に玉ねぎを吊り下げるのは、なぜだろう
ついらづいいのも、てえげえにしちょきよえ,厚かましいのも、大概にしておけよ
つらびがもゆる,赤面する
うちの孫は、人が来るとつりあがる,うちの孫は、人が来ると調子に乗る
難しい本を読みよったら、つるっとした,難しい本を読んでいたら、居眠りした
雨の日は、子どもを駅までつれえいく,雨の日は、子どもを駅まで連れていく
女房とつんのうち、子どもの運動会を見に行った,女房と連れ立って、子どもの運動会を見に行った
子どもが風呂に入らん時は、服をつんむく,子どもが風呂に入らない時は服をひんむく
そげなてえげえなこつしよって、いいんかえ？,そんな大概なことしよって、いいんかい？
歩きたばこは、てえげじゃろうざい,歩きたばこは大概にしなさい
わしは今頃になっち、人生に迷いでえた,わしは今頃になって、人生に迷い始めた
てえてえになった美しい棚田で稲が実る,段々になった美しい棚田で稲が実る
近ごろ、でえぶん秋らしゅうなった,近ごろ、だいぶん秋らしくなった
歳をとるとこれぐらいのこともできらん,歳をとるとこれぐらいのこともできない
高菜漬けを、てくぼに乗せて食べた,高菜漬けを、掌のくぼみに乗せて食べた
でけもんは失恋の痛手に似て、いつか消える,できものは失恋の痛手に似て、いつか消える
財源がないから、、マニフェストどおりにはでけん,財源がないから、マニフェストどおりにはできない
明日の引っ越しに、てごは要らんかえ？,明日の引っ越しに、手伝いは要らないかい？
肉は、てっきゅうと炭火で焼くと美味しい,肉は、金網と炭火で約十美味しい
母ちゃんは日焼け防止に、てぬきを愛用する,母ちゃんは日焼け防止に、指ぬき手袋を愛用する
